,index,link_path,time,route_type,route_types,length,origin,destination,activity,frequency,home,mode
0,237515,"['link-car_000000018944', 'link-car_000000018945', 'link-car_000000018950', 'link-car_000000019307', 'link-car_000000009209', 'link-car_000000009207', 'link-car_000000009197', 'link-car_000000009201', 'link-car_000000009112', 'link-car_000000009105']",7.462258462111155,car,"('car',)",867.1360000000002,702,1006199964,1,0.07142857142857142,702,MIT
1,52815,"['link-car_000000009108', 'link-car_000000009106', 'link-car_000000009111', 'link-car_000000009203', 'link-car_000000009156', 'link-car_000000009184', 'link-car_000000009181', 'link-car_000000009191', 'link-car_000000016467', 'link-car_000000016163', 'link-car_000000016160', 'link-car_000000015410', 'link-car_000000016165', 'link-car_000000011227', 'link-car_000000011222', 'link-car_000000011225', 'link-car_000000011268', 'link-car_000000011272', 'link-car_000000021247', 'link-car_000000011302', 'link-car_000000011280', 'link-car_000000011298', 'link-car_000000001721', 'link-car_000000001715', 'link-car_000000001713', 'link-car_000000002329', 'link-car_000000002336', 'link-car_000000016635', 'link-car_000000016634', 'link-car_000000016640', 'link-car_000000016883', 'link-car_000000012012', 'link-car_000000002326', 'link-car_000000002322', 'link-car_000000000118', 'link-car_000000000112', 'link-car_000000000116', 'link-car_000000002213', 'link-car_000000002211', 'link-car_000000002217', 'link-car_000000018030', 'link-car_000000000937', 'link-car_000000018113', 'link-car_000000021894', 'link-car_000000020878', 'link-car_000000020874', 'link-car_000000017033', 'link-car_000000000955', 'link-car_000000000951', 'link-car_000000000956', 'link-car_000000000962', 'link-car_000000018195', 'link-car_000000006289', 'link-car_000000006281']",11.331521463394164,car,"('car',)",4250.642,1006199964,1215308733,42,0.07142857142857142,702,MIT
2,121028,"['link-car_000000006294', 'link-car_000000006280', 'link-car_000000006290', 'link-car_000000018196', 'link-car_000000000960', 'link-car_000000000959', 'link-car_000000000950', 'link-car_000000000954', 'link-car_000000017032', 'link-car_000000020875', 'link-car_000000020876', 'link-car_000000021893', 'link-car_000000018112', 'link-car_000000000936', 'link-car_000000018029', 'link-car_000000002216', 'link-car_000000002210', 'link-car_000000002214', 'link-car_000000000115', 'link-car_000000000113', 'link-car_000000000119', 'link-car_000000002321', 'link-car_000000002327', 'link-car_000000012011', 'link-car_000000016882', 'link-car_000000016639', 'link-car_000000016632', 'link-car_000000016637', 'link-car_000000002334', 'link-car_000000002333', 'link-car_000000001712', 'link-car_000000001716', 'link-car_000000001720', 'link-car_000000011297', 'link-car_000000011282', 'link-car_000000011300', 'link-car_000000021249', 'link-car_000000011271', 'link-car_000000011270', 'link-car_000000011275', 'link-car_000000015406', 'link-car_000000015404']",9.69113085269928,car,"('car',)",2995.5509999999995,1215308733,1222970437,41,0.07142857142857142,702,MIT
3,97205,"['link-car_000000015414', 'link-car_000000015402', 'link-car_000000015407', 'link-car_000000011276', 'link-car_000000011269', 'link-car_000000011224', 'link-car_000000011221', 'link-car_000000011213', 'link-car_000000002252', 'link-car_000000011263', 'link-car_000000011286', 'link-car_000000011254', 'link-car_000000020319', 'link-car_000000011250', 'link-car_000000019291', 'link-car_000000019294', 'link-car_000000016458']",9.935416803757349,car,"('car',)",1926.7360000000003,1222970437,1161446118,7,0.07142857142857142,702,MIT
4,68792,"['link-car_000000004138', 'link-car_000000016457', 'link-car_000000019296', 'link-car_000000019292', 'link-car_000000011249', 'link-car_000000020321', 'link-car_000000011252', 'link-car_000000011288', 'link-car_000000011261', 'link-car_000000002255', 'link-car_000000011264', 'link-car_000000016153', 'link-car_000000016150', 'link-car_000000009187', 'link-car_000000009179', 'link-car_000000009183', 'link-car_000000009198', 'link-car_000000009205', 'link-car_000000009211', 'link-car_000000019306', 'link-car_000000018949', 'link-car_000000018948']",11.254420284430186,car,"('car',)",2338.3010000000004,1161446118,702,0,0.07142857142857142,702,MIT
5,237515,"['link-bike_000000017838', 'link-bike_000000017839', 'link-bike_000000017844', 'link-bike_000000008559', 'link-bike_000000008554', 'link-bike_000000008553', 'link-bike_000000008543', 'link-bike_000000008547', 'link-bike_000000008480', 'link-bike_000000008473']",3.1724487804878048,bicycle,"('bicycle',)",867.1360000000002,702,1006199964,1,0.14285714285714285,702,active
6,308991,"['link-bike_000000008469', 'link-bike_000000008506', 'link-bike_000000002070', 'link-bike_000000002074', 'link-bike_000000009836', 'link-bike_000000015171', 'link-bike_000000009832', 'link-bike_000000015174', 'link-bike_000000015188', 'link-bike_000000002067', 'link-bike_000000002061', 'link-bike_000000002064', 'link-bike_000000002059', 'link-bike_000000010419', 'link-bike_000000018312', 'link-bike_000000018306', 'link-bike_000000018310']",6.25349268292683,bicycle,"('bicycle',)",1709.288,1006199964,1161446118,7,0.14285714285714285,702,active
7,68792,"['link-bike_000000003820', 'link-bike_000000018309', 'link-bike_000000018308', 'link-bike_000000018165', 'link-bike_000000009879', 'link-bike_000000019375', 'link-bike_000000010453', 'link-bike_000000010452', 'link-bike_000000010432', 'link-bike_000000002156', 'link-bike_000000015435', 'link-bike_000000015167', 'link-bike_000000015135', 'link-bike_000000015138', 'link-bike_000000008536', 'link-bike_000000008540', 'link-bike_000000008544', 'link-bike_000000008551', 'link-bike_000000008556', 'link-bike_000000008558', 'link-bike_000000017843', 'link-bike_000000017842']",8.55475975609756,bicycle,"('bicycle',)",2338.3010000000004,1161446118,702,0,0.14285714285714285,702,active
8,237515,"['link-car_000000018944', 'link-car_000000018945', 'link-car_000000018950', 'link-car_000000019307', 'link-car_000000009209', 'link-car_000000009207', 'link-car_000000009197', 'link-car_000000009201', 'link-car_000000009112', 'link-car_000000009105']",7.462258462111155,car,"('car',)",867.1360000000002,702,1006199964,1,0.28571428571428575,702,MIT
9,189040,"['link-car_000000009108', 'link-car_000000009106', 'link-car_000000009111', 'link-car_000000009202', 'link-car_000000009198', 'link-car_000000009205', 'link-car_000000009211', 'link-car_000000019306', 'link-car_000000018949', 'link-car_000000018948']",7.462258462111155,car,"('car',)",867.136,1006199964,702,0,0.28571428571428575,702,MIT
